"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Neocortex_surface_mm2","Brain_surface_mm2","PEQ","predicted","residuals"
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene",240.243,1775.62,0.649662222874564,2.62993846751921,-0.249287725104384
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene",3081.47,15431.4,1.55743187498621,3.35832421218191,0.130433731782279
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene",1606.2,7408.4,1.43429383102028,3.11113682217264,0.0946627993979368
"Trogosus_hillsii_Legendre","Tr_hi_Le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",1313.58,12676.3,0.773319176096625,3.29207307605069,-0.17361654860462
"Trogosus_hillsii_Damuth_area","Tr_hi_DA","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",1313.58,12676.3,0.773319176096625,3.29207307605069,-0.17361654860462
"Trogosus_hillsii_Damuth_length","Tr_hi_DL","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",1313.58,12676.3,0.773319176096625,3.29207307605069,-0.17361654860462
"Metacheiromys_marshi","Me_ma","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Metacheiromys marshi","Metacheiromys marshi","Eocene archaic taxa","middle Eocene",307.182,2678.25,0.603916423054149,2.76839426022306,-0.280998496551433
"Sinopa_lania","Si_la","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene",893.27,4560.47,1.16215456741267,2.9476941890385,0.00328855964498853
"Miacis_sylvestris","Mi_sy","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",951.488,4202.62,1.31890088399087,2.9201664902506,0.0582368251610368
"Oodectes_herpestoides","Oo_he","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",708.3,2845.9,1.32845045873368,2.78884721498871,0.0613700268096826
"Viverravus_minutus","Vi_mi","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",219.862,1374.83,0.725042470323922,2.54376206783194,-0.201611893570737
"Vulpavus_profectus","Vu_pr","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",850.02,3987,1.22738356000192,2.90242417685857,0.0270049674291966
"Vulpavus_ovatus","Vu_ov","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",1069.42,4196.5,1.48404837015218,2.91967557978719,0.109472722109556
"Paramys_delicatus","Pa_de","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",790.48,4864.86,0.97815232318059,2.96945972892712,-0.0715688426405725
"Pseudotomus_horribilis","Ps_ho","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",1103.54,5842.8,1.18467593787786,3.03116384450894,0.0116242351404687
"Pseudotomus_oweni","Ps_ow","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",1087.42,4744.38,1.37202024349843,2.96101213064897,0.0753851857027299
"Pseudotomus_petersoni","Ps_pe","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",1337.58,5843.7,1.43575179921779,3.03121572960473,0.0951040368040719
"Pseudotomus_hians","Ps_hi","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",1123.12,4878.63,1.38672267795811,2.97041187649337,0.0800142845353067
"Reithroparamys_delicatissimus","Re_de","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",550.88,3178.9,0.948220087228355,2.82612318982496,-0.0850661844643588
"Rapamys_atramontis","Ra_at","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",763.645,3321.41,1.27048858949749,2.84089607907987,0.0419954334598001
"Microsyops_annectens","Mi_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Microsyops annectens","Microsyops annectens","Eocene archaic taxa","middle Eocene",632.56,2956.19,1.15191818157043,2.8016554287653,-0.000553702975853998
"Rooneyia_viejaensis","Ro_vi","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",1054.55,2409.33,2.25057494812593,2.73274903294287,0.290318143080759
"Notharctus_tenebrosus","No_te","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",917.83,3035.943333,1.63724822320606,2.81062305700947,0.15213919184005
"Smilodectes_gracilis","Sm_gr","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",1062.7875,3387.77,1.74125222177905,2.84756008958025,0.178886348223339
