"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Body_mass_mg","Brain_volume_mm3","Olfactory_bulbs_mm3","PEQ","predicted","residuals"
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene",1067750,3418.61,282.813,0.231373336416216,2.48199628059924,-0.0304969119011691
"Hyopsodus_lepidus","Hy_le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene",457000,2790,240,0.323717173875051,2.26485572143649,0.115355520275117
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene",62220394.46,76522.5,6040.05,0.45050198512932,3.52215405110682,0.258886482652423
"Leptotragulus_sp.","Le_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene",8817500,21417,960,0.226406816489631,3.02219195873885,-0.0399207256992833
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene",11634000,33003.1,1643,0.329101180540435,3.09311834744372,0.122519215991346
"Cebochoerus_sp.","Ce_sp","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene",4627500,17200,1200,0.413777163444475,2.85722495096256,0.221956295085069
"Trogosus_hillsii_Legendre","Tr_hi_Le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",96274134.48,61021.2,4428.85,0.255419567650625,3.63384703300193,0.0124439384827721
"Trogosus_hillsii_Damuth_area","Tr_hi_DA","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",97378821.46,61021.2,4428.85,0.253708426997981,3.63676630577003,0.00952466571466859
"Trogosus_hillsii_Damuth_length","Tr_hi_DL","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii",66405641.55,61021.2,4428.85,0.317899619176981,3.53881119028908,0.107479781195626
"Metacheiromys_marshi","Me_ma","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Metacheiromys marshi","Metacheiromys marshi","Eocene archaic taxa","middle Eocene",713360,6641.68,425.832,0.441826460111084,2.37879679346107,0.250441500797721
"Uintatherium_anceps","Ui_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene",1037055170,3e+05,41000,0.582842934408825,4.24204255072001,0.370741305999722
"Tetheopsis_ingens","Te_in","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Dinocerata","Dinocerata","Eocene archaic taxa","middle Eocene",6270204030,365000,11000,0.0541671495036653,4.70246693570881,-0.66107425055058
"Cynohyaenodon_cayluxi","Cy_ca","Eocene","Eocene archaic taxa","middle to late Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene",1358890,8300,500,0.354886257479585,2.54369104355861,0.155278960777406
"Sinopa_lania","Si_la","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene",4188520,11603.6,501.146,0.183253488470628,2.83172224039974,-0.131757972102938
"Miacis_sylvestris","Mi_sy","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",1156670,8445.66,321.04,0.250556335563299,2.50246397912796,0.0040951675978258
"Oodectes_herpestoides","Oo_he","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",1172230,7644.4,378.898,0.293392758102856,2.50588314424757,0.0726391686250558
"Viverravus_minutus","Vi_mi","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",313200,2028.99,169.298,0.2852895308878,2.16817621220054,0.0604756154057671
"Vulpavus_profectus","Vu_pr","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",2573270,12066,908.196,0.442508205458241,2.70706847875637,0.251111106034129
"Vulpavus_ovatus","Vu_ov","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene",3787570,12358,1057.11,0.410161454366866,2.80597555952012,0.218144621644817
"Paramys_delicatus","Pa_de","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",2154490,12565.4,595.51,0.322166132316885,2.66161939737151,0.113269661324453
"Pseudotomus_horribilis","Ps_ho","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",4850480,15188.2,808.92,0.271299641253617,2.86926657675449,0.0386389964319283
"Pseudotomus_oweni","Ps_ow","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",3665510,12063,717.06,0.283642852179187,2.7975938756824,0.0579616210993459
"Pseudotomus_petersoni","Ps_pe","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",4386240,17014.9,704.34,0.250650285305824,2.8435243726338,0.00425798037018588
"Pseudotomus_hians","Ps_hi","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",2306480,13679.1,743.2,0.386237134808316,2.67906189633031,0.192043804655278
"Reithroparamys_delicatissimus","Re_de","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",749280,6433.98,206.31,0.207952209175607,2.39136696123501,-0.076846682173326
"Rapamys_atramontis","Ra_at","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Rodentia","Rodentia","Eocene crown clades","middle Eocene",1079530,6558.22,225.338,0.183164329850372,2.48480375515327,-0.131969319760013
"Microsyops_annectens","Mi_an","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Microsyops annectens","Microsyops annectens","Eocene archaic taxa","middle Eocene",1432450,5900,300.55,0.206798205427682,2.55718018808791,-0.0792634557832788
"Rooneyia_viejaensis","Ro_vi","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",341310,7230,68,0.108930832389577,2.19016831001243,-0.357659397306189
"Notharctus_tenebrosus","No_te","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",2100070,7623.333333,149,0.08183200458409,2.65507330044341,-0.481887032031139
"Smilodectes_gracilis","Sm_gr","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",1238640,8370,137.55,0.103106845282518,2.51998331686586,-0.381522722140161
"Necrolemur_antiquus","Ne_an","Eocene","Eocene crown clades","middle to late Eocene","middle Eocene","Primates","Primates","Eocene crown clades","middle Eocene",120530,2355,45.6,0.134878670830307,1.92383178337707,-0.264866940712634
